,cameras,date,err,frame_count,frame_number,frame_timestamp,name,ncameras,oid,type,x,y,z
120,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.156941+01:00,0.6370964759684814,,37707,,,2,28,BVIEW_tracked_3d_object,0.06474202443140024,-0.6927825033114983,0.462594305462179
121,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.162120+01:00,1.4225096142258633,,37708,,,2,28,BVIEW_tracked_3d_object,0.06346584373801442,-0.6923126428789093,0.4628545455703343
122,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.171738+01:00,0.6772055312911595,,37709,,,2,28,BVIEW_tracked_3d_object,0.046033054483410996,-0.6994821842201773,0.4605456001892484
123,"{""cam_vid_id_2464"": 2, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:55:23.178303+01:00,0.8555465964226786,,37710,,,2,28,BVIEW_tracked_3d_object,0.08875443839936674,-0.7138748030030195,0.46707802046886027
124,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.186130+01:00,0.7068431571067504,,37711,,,2,28,BVIEW_tracked_3d_object,0.0586072022627993,-0.7054812912626237,0.462511260579141
125,"{""cam_vid_id_2464"": 5, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.191020+01:00,1.470018194511968,,37712,,,2,28,BVIEW_tracked_3d_object,0.0489812242793753,-0.6951592194769247,0.4649646804472474
126,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.195306+01:00,0.898521461064647,,37713,,,2,28,BVIEW_tracked_3d_object,0.04340676789752737,-0.6959010867495116,0.46054065468356015
127,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.200873+01:00,1.65541034785474,,37714,,,2,28,BVIEW_tracked_3d_object,0.054968470263020666,-0.7021150277958726,0.4621834789187305
128,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:55:23.205032+01:00,0.3581125445616712,,37715,,,2,28,BVIEW_tracked_3d_object,0.08494175542506259,-0.7133367589292297,0.467263699777425
129,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.209916+01:00,1.9808618325182676,,37716,,,2,28,BVIEW_tracked_3d_object,0.060855634711059904,-0.6912709510850243,0.46124371191609354
130,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.214050+01:00,0.6230215154881018,,37717,,,2,28,BVIEW_tracked_3d_object,0.055328851268600536,-0.7018443913693904,0.46197754405227065
131,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.219785+01:00,1.8909742289235019,,37718,,,2,28,BVIEW_tracked_3d_object,0.05362727850005492,-0.7016943989053802,0.4626632007226942
132,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": -1, ""cam_vid_id_2469"": 0}               ",2020-11-11T11:55:23.224028+01:00,1.3065137549575372,,37719,,,2,28,BVIEW_tracked_3d_object,0.10271112235560034,-0.7060095558494571,0.4680695863804281
133,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.229769+01:00,0.3588065343162519,,37720,,,2,28,BVIEW_tracked_3d_object,0.06313422447113164,-0.6920096584186548,0.46274073933223714
134,"{""cam_vid_id_2464"": 0, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.235315+01:00,0.6011804046897264,,37721,,,2,28,BVIEW_tracked_3d_object,0.06366874535708617,-0.6921235338834818,0.4624065784249809
135,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.250010+01:00,0.46834328737901854,,37722,,,2,28,BVIEW_tracked_3d_object,0.052670844918336915,-0.6993155955029771,0.46054323185897406
136,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.255867+01:00,1.4377818519183,,37723,,,2,28,BVIEW_tracked_3d_object,0.04678039975715624,-0.6988234875870954,0.46096268854761285
137,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 1, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.262215+01:00,0.11739618890613657,,37724,,,2,28,BVIEW_tracked_3d_object,0.04918539189188027,-0.6969947018895678,0.46032567568900173
138,"{""cam_vid_id_2464"": 1, ""cam_vid_id_2466"": 0, ""cam_vid_id_2469"": -1}               ",2020-11-11T11:55:23.266196+01:00,1.0173132619115575,,37725,,,2,28,BVIEW_tracked_3d_object,0.04378322043285615,-0.6963259224341944,0.46155376790757874
